x,y
-4.805999953061343,-7.5999999649822705
-3.8059999381601815,-7.5999999649822705
-2.2559999150633816,-7.5999999649822705
-2.2059999143183235,-7.5999999649822705
-4.855999953806401,-7.549999964237212
-4.805999953061343,-7.549999964237212
-3.8059999381601815,-7.549999964237212
-2.2559999150633816,-7.549999964237212
-2.2059999143183235,-7.549999964237212
-4.955999955296517,-7.499999963492154
-4.805999953061343,-7.499999963492154
-3.8559999389052395,-7.499999963492154
-3.8059999381601815,-7.499999963492154
-2.2559999150633816,-7.499999963492154
-2.2059999143183235,-7.499999963492154
-4.855999953806401,-7.449999962747096
-4.805999953061343,-7.449999962747096
-3.8559999389052395,-7.449999962747096
-3.8059999381601815,-7.449999962747096
-2.2559999150633816,-7.449999962747096
-2.2059999143183235,-7.449999962747096
-1.3559999016523365,-7.449999962747096
-1.1059998979270462,-7.449999962747096
-1.0559998971819882,-7.449999962747096
-0.955999895691872,-7.449999962747096
-0.8559998942017559,-7.449999962747096
-0.8059998934566979,-7.449999962747096
-4.855999953806401,-7.399999962002038
-4.805999953061343,-7.399999962002038
-3.8559999389052395,-7.399999962002038
-3.8059999381601815,-7.399999962002038
-2.2059999143183235,-7.399999962002038
-2.1559999135732655,-7.399999962002038
-2.1059999128282074,-7.399999962002038
-2.0559999120831494,-7.399999962002038
-2.0059999113380913,-7.399999962002038
-1.9559999105930332,-7.399999962002038
-1.9059999098479752,-7.399999962002038
-1.8559999091029171,-7.399999962002038
-1.5559999046325688,-7.399999962002038
-1.5059999038875107,-7.399999962002038
-1.4559999031424526,-7.399999962002038
-1.4059999023973946,-7.399999962002038
-1.3559999016523365,-7.399999962002038
-1.3059999009072785,-7.399999962002038
-1.2559999001622204,-7.399999962002038
-1.2059998994171623,-7.399999962002038
-1.1559998986721043,-7.399999962002038
-1.1059998979270462,-7.399999962002038
-1.0559998971819882,-7.399999962002038
-1.00599989643693,-7.399999962002038
-0.955999895691872,-7.399999962002038
-0.905999894946814,-7.399999962002038
-0.8559998942017559,-7.399999962002038
-0.8059998934566979,-7.399999962002038
-0.7559998927116398,-7.399999962002038
-0.7059998919665817,-7.399999962002038
-0.6559998912215237,-7.399999962002038
-0.6059998904764656,-7.399999962002038
-4.855999953806401,-7.34999996125698
-4.805999953061343,-7.34999996125698
-3.8559999389052395,-7.34999996125698
-3.8059999381601815,-7.34999996125698
-2.1059999128282074,-7.34999996125698
-2.0559999120831494,-7.34999996125698
-2.0059999113380913,-7.34999996125698
-1.9559999105930332,-7.34999996125698
-1.9059999098479752,-7.34999996125698
-1.8559999091029171,-7.34999996125698
-1.805999908357859,-7.34999996125698
-1.755999907612801,-7.34999996125698
-1.705999906867743,-7.34999996125698
-1.6559999061226849,-7.34999996125698
-1.6059999053776268,-7.34999996125698
-1.5559999046325688,-7.34999996125698
-1.5059999038875107,-7.34999996125698
-1.4559999031424526,-7.34999996125698
-1.4059999023973946,-7.34999996125698
-1.3559999016523365,-7.34999996125698
-1.3059999009072785,-7.34999996125698
-1.2559999001622204,-7.34999996125698
-1.2059998994171623,-7.34999996125698
-1.1559998986721043,-7.34999996125698
-1.1059998979270462,-7.34999996125698
-1.0559998971819882,-7.34999996125698
-1.00599989643693,-7.34999996125698
-0.955999895691872,-7.34999996125698
-0.905999894946814,-7.34999996125698
-0.8559998942017559,-7.34999996125698
-0.8059998934566979,-7.34999996125698
-0.7559998927116398,-7.34999996125698
-0.7059998919665817,-7.34999996125698
-0.6559998912215237,-7.34999996125698
-0.6059998904764656,-7.34999996125698
-0.5559998897314076,-7.34999996125698
-0.5059998889863495,-7.34999996125698
-0.45599988824129145,-7.34999996125698
-0.4059998874962334,-7.34999996125698
-4.905999954551459,-7.299999960511922
-4.855999953806401,-7.299999960511922
-4.805999953061343,-7.299999960511922
-3.8559999389052395,-7.299999960511922
-3.8059999381601815,-7.299999960511922
-1.8559999091029171,-7.299999960511922
-0.45599988824129145,-7.299999960511922
-0.4059998874962334,-7.299999960511922
-4.855999953806401,-7.249999959766864
-4.805999953061343,-7.249999959766864
-3.8559999389052395,-7.249999959766864
-3.8059999381601815,-7.249999959766864
-1.9559999105930332,-7.249999959766864
-1.9059999098479752,-7.249999959766864
-0.4059998874962334,-7.249999959766864
-4.855999953806401,-7.199999959021806
-3.8559999389052395,-7.199999959021806
-3.8059999381601815,-7.199999959021806
-0.4059998874962334,-7.199999959021806
-4.855999953806401,-7.149999958276748
-3.8559999389052395,-7.149999958276748
-3.8059999381601815,-7.149999958276748
-0.4059998874962334,-7.149999958276748
-4.855999953806401,-7.09999995753169
-3.8559999389052395,-7.09999995753169
-3.8059999381601815,-7.09999995753169
-0.4059998874962334,-7.09999995753169
-4.855999953806401,-7.049999956786632
-3.8559999389052395,-7.049999956786632
-3.8059999381601815,-7.049999956786632
-0.4059998874962334,-7.049999956786632
-4.855999953806401,-6.999999956041574
-3.8559999389052395,-6.999999956041574
-3.8059999381601815,-6.999999956041574
-0.4059998874962334,-6.999999956041574
-4.855999953806401,-6.949999955296516
-3.8559999389052395,-6.949999955296516
-3.8059999381601815,-6.949999955296516
-0.4059998874962334,-6.949999955296516
-4.855999953806401,-6.899999954551458
-3.8559999389052395,-6.899999954551458
-3.8059999381601815,-6.899999954551458
-0.4059998874962334,-6.899999954551458
-4.855999953806401,-6.8499999538064
-3.8559999389052395,-6.8499999538064
