x,y
-3.876506723203588,-5.1579400880386865
-3.9173481916190167,-5.100216829237029
-3.8680658280104736,-5.108657724430143
-3.9581896600344457,-5.042493570435371
-3.9089072964259026,-5.050934465628486
-3.949748764841331,-4.993211206826828
-3.900466401232788,-5.001652102019943
-3.941307869648217,-4.943928843218285
-3.892025506039674,-4.952369738411399
-3.9328669744551026,-4.894646479609742
-3.9244260792619885,-4.845364116001199
-3.915985184068874,-4.796081752392656
-0.95904336755628,-5.302535463979513
-0.9097610039477368,-5.310976359172627
-0.8604786403391937,-5.319417254365741
-0.8111962767306506,-5.327858149558856
-0.7619139131221075,-5.33629904475197
-3.956826652484303,-4.738358493590997
-3.90754428887576,-4.746799388784112
-0.8520377451460792,-5.270134890757198
-0.8027553815375361,-5.278575785950313
-0.753473017928993,-5.2870166811434265
-0.7041906543204499,-5.295457576336541
-0.6549082907119059,-5.3038984715296555
-0.6056259271033628,-5.312339366722769
-0.5563435634948197,-5.320780261915884
-0.5070611998862766,-5.329221157108998
-0.4577788362777335,-5.337662052302113
-3.9483857572911885,-4.689076129982455
-3.8991033936826454,-4.697517025175569
-0.5971850319102483,-5.263057003114227
-0.5479026683017052,-5.271497898307341
-0.4986203046931621,-5.279938793500455
-0.449337941084619,-5.28837968869357
-0.4000555774760759,-5.296820583886683
-0.3507732138675328,-5.305261479079798
-3.9399448620980744,-4.639793766373911
-3.93150396690496,-4.590511402765368
-3.9723454353203893,-4.53278814396371
-3.9230630717118458,-4.541229039156825
-3.9639045401272752,-4.483505780355167
-3.9146221765187317,-4.491946675548282
-3.9554636449341607,-4.434223416746624
-3.9470227497410466,-4.384941053138081
-3.938581854547932,-4.335658689529538
-3.979423322963361,-4.27793543072788
-3.930140959354818,-4.286376325920994
-3.9709824277702466,-4.228653067119337
-3.9217000641617035,-4.237093962312451
-3.9625415325771325,-4.179370703510793
-3.954100637384018,-4.13008833990225
-3.945659742190904,-4.080805976293707
-3.9865012106063324,-4.023082717492049
-3.9372188469977893,-4.031523612685164
-3.9780603154132184,-3.9738003538835063
-3.9287779518046753,-3.982241249076621
-3.969619420220104,-3.924517990274963
-3.9611785250269897,-3.87523562666642
-3.952737629833875,-3.8259532630578765
-3.9935790982493047,-3.7682300042562193
-3.944296734640761,-3.7766708994493334
-3.9851382030561906,-3.718947640647676
-3.9358558394476466,-3.72738853584079
-3.976697307863076,-3.6696652770391327
-3.968256412669962,-3.620382913430589
-3.9598155174768475,-3.571100549822046
-3.9513746222837334,-3.521818186213503
-3.992216090699162,-3.4640949274118453
-3.942933727090619,-3.47253582260496
-3.983775195506048,-3.4148125638033022
-3.9344928318975048,-3.4232534589964163
-1.5689393786874293,-3.8284164282659026
-1.5196570150788862,-3.8368573234590166
-3.9753343003129333,-3.3655302001947587
-1.5604984834943147,-3.7791340646573595
-1.5112161198857716,-3.7875749598504735
-4.016175768728362,-3.3078069413931015
-3.9668934051198192,-3.3162478365862156
-1.5520575883012002,-3.729851701048816
-4.007734873535248,-3.258524577784558
-3.9584525099267047,-3.2669654729776725
-1.5928990567166297,-3.6721284422471583
-1.5436166931080866,-3.680569337440273
-3.9992939783421337,-3.209242214176015
-3.9500116147335906,-3.217683109369129
-1.5844581615235152,-3.622846078638615
-1.535175797914972,-3.6312869738317293
-3.990853083149019,-3.1599598505674718
-3.941570719540476,-3.168400745760586
-1.5760172663304006,-3.573563715030072
-1.5267349027218575,-3.582004610223186
-3.982412187955905,-3.110677486958928
-3.933129824347362,-3.1191183821520427
-1.567576371137286,-3.5242813514215285
-1.518294007528743,-3.532722246614643
-3.9739712927627906,-3.061395123350385
